   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.158477      0.401827      0.588393      0.330638      0.598217E-01  0.566131E-01  0.528572      0.274025      0.116435      0.461121E-01  0.270847E-01  0.220029E-01  0.137096E-01  0.743766E-02   0.00000      0.220908E-01
  0.173766      0.332546      0.566668      0.305307      0.494113E-01  0.448514E-01  0.517257      0.260456      0.942626E-01  0.384314E-01  0.214450E-01  0.174211E-01  0.109799E-01  0.591171E-02   0.00000      0.174946E-01
  0.190530      0.271268      0.542378      0.279268      0.401328E-01  0.347814E-01  0.502245      0.244487      0.749141E-01  0.314984E-01  0.166089E-01  0.134988E-01  0.863438E-02  0.461330E-02   0.00000      0.135592E-01
  0.208912      0.218003      0.515024      0.252536      0.320223E-01  0.263884E-01  0.483002      0.226148      0.584106E-01  0.253572E-01  0.125747E-01  0.102308E-01  0.666503E-02  0.353417E-02   0.00000      0.102795E-01
  0.229067      0.171935      0.484440      0.225276      0.249901E-01  0.194721E-01  0.459450      0.205804      0.444621E-01  0.199656E-01  0.925060E-02  0.753935E-02  0.502442E-02  0.264373E-02   0.00000      0.757773E-02
  0.251167      0.132987      0.450176      0.197697      0.190509E-01  0.139710E-01  0.431125      0.183726      0.330218E-01  0.153527E-01  0.660989E-02  0.540046E-02  0.369821E-02  0.193106E-02   0.00000      0.543001E-02
  0.275399      0.100301      0.412287      0.170136      0.140923E-01  0.966064E-02  0.398194      0.160476      0.237530E-01  0.114548E-01  0.454564E-02  0.372651E-02  0.263757E-02  0.136642E-02   0.00000      0.374859E-02
  0.301969      0.736944E-01  0.370614      0.143045      0.100998E-01  0.643951E-02  0.360514      0.136606      0.165393E-01  0.827715E-02  0.300912E-02  0.247761E-02  0.182261E-02  0.936789E-03   0.00000      0.249360E-02
  0.331102      0.522782E-01  0.325687      0.116903      0.693861E-02  0.408085E-02  0.318749      0.112822      0.110195E-01  0.573269E-02  0.189007E-02  0.156498E-02  0.120593E-02  0.614677E-03   0.00000      0.157611E-02
  0.363046      0.357536E-01  0.278042      0.923767E-01  0.456079E-02  0.246173E-02  0.273481      0.899150E-01  0.702252E-02  0.379666E-02  0.112786E-02  0.940275E-03  0.764133E-03  0.386174E-03   0.00000      0.947692E-03
  0.398071      0.232289E-01  0.228956      0.699620E-01  0.281718E-02  0.138180E-02  0.226139      0.685802E-01  0.419898E-02  0.236238E-02  0.624401E-03  0.525047E-03  0.454802E-03  0.227689E-03   0.00000      0.529710E-03
  0.436476      0.140771E-01  0.179861      0.502042E-01  0.160777E-02  0.706831E-03  0.178253      0.494974E-01  0.231460E-02  0.135867E-02  0.314250E-03  0.266841E-03  0.249097E-03  0.123020E-03   0.00000      0.269561E-03
  0.478586      0.799354E-02  0.133137      0.338075E-01  0.845368E-03  0.332290E-03  0.132292      0.334752E-01  0.117766E-02  0.718788E-03  0.144721E-03  0.124385E-03  0.126580E-03  0.617160E-04   0.00000      0.125853E-03
  0.524759      0.412116E-02  0.910948E-01  0.209285E-01  0.395994E-03  0.138051E-03  0.906988E-01  0.207904E-01  0.534045E-03  0.338468E-03  0.586241E-04  0.511025E-04  0.575261E-04  0.276131E-04   0.00000      0.518138E-04
  0.575386      0.186878E-02  0.560526E-01  0.115885E-01  0.159185E-03  0.488481E-04  0.558934E-01  0.115396E-01  0.208033E-03  0.136602E-03  0.201106E-04  0.178133E-04  0.225828E-04  0.106260E-04   0.00000      0.181115E-04
  0.630897      0.709589E-03  0.297328E-01  0.550223E-02  0.518326E-04  0.139097E-04  0.296810E-01  0.548832E-02  0.657423E-04  0.445715E-04  0.551269E-05  0.496840E-05  0.726113E-05  0.332622E-05   0.00000      0.507080E-05
  0.691764      0.207889E-03  0.126724E-01  0.208797E-02  0.124188E-04  0.290104E-05  0.126600E-01  0.208507E-02  0.153198E-04  0.106669E-04  0.109665E-05  0.100564E-05  0.175186E-05  0.772483E-06   0.00000      0.103190E-05
  0.758504      0.389193E-04  0.376356E-02  0.547860E-03  0.177587E-05  0.352225E-06  0.376178E-02  0.547508E-03  0.212809E-05  0.151682E-05  0.125275E-06  0.116422E-06  0.259050E-06  0.106431E-06   0.00000      0.120519E-06
  0.831682      0.346392E-05  0.587907E-03  0.752536E-04  0.105730E-06  0.179639E-07  0.587801E-03  0.752356E-04  0.123694E-06  0.884035E-07  0.584108E-08  0.545809E-08  0.173268E-07  0.638985E-08   0.00000      0.573297E-08
  0.911920      0.490878E-07  0.189583E-04  0.211358E-05  0.733351E-09  0.109414E-09  0.189576E-04  0.211347E-05  0.842765E-09  0.566738E-09  0.294248E-10  0.275532E-10  0.166613E-09  0.501402E-10   0.00000      0.298488E-10
  0.999900      0.145613E-14  0.193716E-11  0.183195E-12  0.709257E-18  0.941154E-18  0.193716E-11  0.183194E-12  0.165041E-17  -.906500E-18  0.120365E-18  0.247503E-18  0.161576E-17  0.554495E-18   0.00000      0.266294E-18
