   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.190535E-01   3.74753      0.628739      0.620179      0.379645      0.495039      0.249094      0.125140      0.874684      0.301082      0.280701      0.214114      0.785633E-01   0.00000       0.00000      0.214338    
  0.208917E-01   3.61288      0.629787      0.609256      0.366067      0.474835      0.263720      0.134421      0.840902      0.291024      0.269481      0.205124      0.750428E-01   0.00000       0.00000      0.205354    
  0.229073E-01   3.47848      0.631429      0.598802      0.352482      0.454570      0.278947      0.144232      0.807052      0.280940      0.258207      0.196128      0.715421E-01   0.00000       0.00000      0.196363    
  0.251174E-01   3.34429      0.633653      0.588823      0.338886      0.434246      0.294767      0.154577      0.773132      0.270824      0.246878      0.187129      0.680620E-01   0.00000       0.00000      0.187368    
  0.275406E-01   3.21028      0.636498      0.579369      0.325273      0.413858      0.311225      0.165511      0.739132      0.260667      0.235491      0.178126      0.646064E-01   0.00000       0.00000      0.178367    
  0.301976E-01   3.07642      0.639918      0.570422      0.311642      0.393418      0.328276      0.177004      0.705060      0.250465      0.224051      0.169124      0.611769E-01   0.00000       0.00000      0.169367    
  0.331110E-01   2.94267      0.643846      0.561946      0.297993      0.372941      0.345853      0.189005      0.670934      0.240218      0.212570      0.160128      0.577746E-01   0.00000       0.00000      0.160371    
  0.363055E-01   2.80901      0.648249      0.553931      0.284326      0.352442      0.363923      0.201489      0.636768      0.229923      0.201054      0.151145      0.544028E-01   0.00000       0.00000      0.151387    
  0.398081E-01   2.67546      0.653130      0.546406      0.270645      0.331944      0.382485      0.214462      0.602588      0.219575      0.189516      0.142188      0.510695E-01   0.00000       0.00000      0.142427    
  0.436487E-01   2.54205      0.658408      0.539318      0.256955      0.311479      0.401453      0.227839      0.568433      0.209177      0.177975      0.133268      0.477782E-01   0.00000       0.00000      0.133503    
  0.478598E-01   2.40879      0.664002      0.532605      0.243266      0.291080      0.420736      0.241525      0.534346      0.198733      0.166451      0.124398      0.445322E-01   0.00000       0.00000      0.124629    
  0.524772E-01   2.27578      0.669846      0.526221      0.229587      0.270788      0.440258      0.255433      0.500375      0.188250      0.154967      0.115596      0.413373E-01   0.00000       0.00000      0.115820    
  0.575400E-01   2.14315      0.675878      0.520128      0.215938      0.250673      0.459940      0.269455      0.466611      0.177730      0.143562      0.106894      0.382075E-01   0.00000       0.00000      0.107110    
  0.630913E-01   2.01104      0.681988      0.514216      0.202336      0.230789      0.479652      0.283427      0.433125      0.167189      0.132269      0.983116E-01  0.351475E-01   0.00000       0.00000      0.985197E-01
  0.691782E-01   1.87962      0.688074      0.508375      0.188801      0.211192      0.499273      0.297183      0.399993      0.156639      0.121121      0.898719E-01  0.321620E-01   0.00000       0.00000      0.900703E-01
  0.758523E-01   1.74911      0.694031      0.502487      0.175357      0.191950      0.518674      0.310537      0.367307      0.146098      0.110159      0.816032E-01  0.292592E-01   0.00000       0.00000      0.817910E-01
  0.831703E-01   1.61994      0.699698      0.496371      0.162051      0.173203      0.537646      0.323168      0.335254      0.135592      0.994605E-01  0.735656E-01  0.264597E-01   0.00000       0.00000      0.737421E-01
  0.911943E-01   1.49238      0.704938      0.489848      0.148913      0.155014      0.556025      0.334833      0.303927      0.125146      0.890662E-01  0.657837E-01  0.237669E-01   0.00000       0.00000      0.659481E-01
  0.999925E-01   1.36641      0.709644      0.482755      0.135947      0.137407      0.573696      0.345348      0.273354      0.114774      0.789923E-01  0.582630E-01  0.211735E-01   0.00000       0.00000      0.584147E-01
  0.109639       1.24289      0.713620      0.474860      0.123234      0.120532      0.590386      0.354328      0.243766      0.104529      0.693249E-01  0.510687E-01  0.187050E-01   0.00000       0.00000      0.512075E-01
  0.120217       1.12264      0.716539      0.465771      0.110858      0.104591      0.605681      0.361180      0.215449      0.944722E-01  0.601797E-01  0.442854E-01  0.163859E-01   0.00000       0.00000      0.444111E-01
  0.131815       1.00579      0.718238      0.455298      0.988396E-01  0.895888E-01  0.619399      0.365709      0.188428      0.846317E-01  0.515643E-01  0.379119E-01  0.142079E-01   0.00000       0.00000      0.380244E-01
  0.144533      0.893105      0.718343      0.443060      0.872584E-01  0.756687E-01  0.631085      0.367391      0.162927      0.750729E-01  0.435624E-01  0.320067E-01  0.121854E-01   0.00000       0.00000      0.321063E-01
  0.158477      0.784970      0.716559      0.428833      0.761594E-01  0.628673E-01  0.640400      0.365965      0.139027      0.658410E-01  0.361974E-01  0.265830E-01  0.103184E-01   0.00000       0.00000      0.266699E-01
  0.173766      0.682242      0.712319      0.412208      0.656375E-01  0.513148E-01  0.646681      0.360893      0.116952      0.570177E-01  0.295460E-01  0.216939E-01  0.861985E-02   0.00000       0.00000      0.217687E-01
  0.190530      0.585256      0.705192      0.393036      0.557338E-01  0.410046E-01  0.649458      0.352031      0.967385E-01  0.486483E-01  0.236067E-01  0.173346E-01  0.708551E-02   0.00000       0.00000      0.173979E-01
  0.208912      0.494922      0.694322      0.370966      0.465524E-01  0.320329E-01  0.647769      0.338934      0.785853E-01  0.408268E-01  0.184364E-01  0.135439E-01  0.572564E-02   0.00000       0.00000      0.135965E-01
  0.229067      0.411442      0.679110      0.346026      0.381210E-01  0.243350E-01  0.640989      0.321691      0.624560E-01  0.335901E-01  0.139992E-01  0.102929E-01  0.453095E-02   0.00000       0.00000      0.103358E-01
  0.251167      0.335704      0.658351      0.318062      0.305421E-01  0.179517E-01  0.627809      0.300110      0.484938E-01  0.270346E-01  0.103199E-01  0.759764E-02  0.350746E-02   0.00000       0.00000      0.763185E-02
  0.275399      0.267690      0.631354      0.287400      0.238167E-01  0.127541E-01  0.607537      0.274646      0.365708E-01  0.211761E-01  0.732475E-02  0.540285E-02  0.264061E-02   0.00000       0.00000      0.542940E-02
  0.301969      0.208154      0.596691      0.254272      0.180277E-01  0.871514E-02  0.578664      0.245557      0.267428E-01  0.160968E-01  0.499862E-02  0.369651E-02  0.193090E-02   0.00000       0.00000      0.371652E-02
  0.331102      0.156762      0.553927      0.219406      0.131338E-01  0.565211E-02  0.540793      0.213754      0.187860E-01  0.117750E-01  0.323616E-02  0.240141E-02  0.135882E-02   0.00000       0.00000      0.241595E-02
  0.363046      0.113986      0.501995      0.183592      0.917601E-02  0.347586E-02  0.492819      0.180116      0.126519E-01  0.825720E-02  0.198570E-02  0.147999E-02  0.918812E-03   0.00000       0.00000      0.149015E-02
  0.398071      0.790970E-01  0.441511      0.147950      0.605843E-02  0.198165E-02  0.435452      0.145969      0.804008E-02  0.547053E-02  0.112875E-02  0.846176E-03  0.587896E-03   0.00000       0.00000      0.852905E-03
